Date;21082 - Percent of 90 days past due loans of credit operations outstanding - Total - %
03/2011;3.17
04/2011;3.24
05/2011;3.37
06/2011;3.32
07/2011;3.42
08/2011;3.45
09/2011;3.46
10/2011;3.58
11/2011;3.58
12/2011;3.54
01/2012;3.66
02/2012;3.71
03/2012;3.67
04/2012;3.76
05/2012;3.76
06/2012;3.71
07/2012;3.72
08/2012;3.75
09/2012;3.72
10/2012;3.76
11/2012;3.67
12/2012;3.55
01/2013;3.55
02/2013;3.53
03/2013;3.46
04/2013;3.48
05/2013;3.48
06/2013;3.26
07/2013;3.22
08/2013;3.14
09/2013;3.15
10/2013;3.07
11/2013;2.98
12/2013;2.87
01/2014;2.86
02/2014;2.88
03/2014;2.91
04/2014;2.95
05/2014;3.02
06/2014;2.93
07/2014;2.98
08/2014;3.01
09/2014;2.94
10/2014;2.99
11/2014;2.88
12/2014;2.76
01/2015;2.85
02/2015;2.89
03/2015;2.85
04/2015;2.99
05/2015;3.06
06/2015;2.96
07/2015;3.07
08/2015;3.16
09/2015;3.16
10/2015;3.28
11/2015;3.42
12/2015;3.42
01/2016;3.52
02/2016;3.55
03/2016;3.58
04/2016;3.71
05/2016;3.79
06/2016;3.57
07/2016;3.61
08/2016;3.69
09/2016;3.74
10/2016;3.90
11/2016;3.86
12/2016;3.75
01/2017;3.79
02/2017;3.82
03/2017;3.91
04/2017;4.00
05/2017;4.11
06/2017;3.80
07/2017;3.75
08/2017;3.76
09/2017;3.66
10/2017;3.69
11/2017;3.60
12/2017;3.29
01/2018;3.48
02/2018;3.49
03/2018;3.35
04/2018;3.38
05/2018;3.37
06/2018;3.11
07/2018;3.08
08/2018;3.10
09/2018;3.11
10/2018;3.11
11/2018;3.02
12/2018;2.93
01/2019;3.01
02/2019;2.96
03/2019;3.04
04/2019;3.07
05/2019;3.10
06/2019;2.99
07/2019;3.10
08/2019;3.10
09/2019;3.11
10/2019;3.09
11/2019;3.06
12/2019;2.99
01/2020;3.06
02/2020;3.10
03/2020;3.24
04/2020;3.36
05/2020;3.31
06/2020;2.95
07/2020;2.82
08/2020;2.70
09/2020;2.47
10/2020;2.40
11/2020;2.27
12/2020;2.16
01/2021;2.19
02/2021;2.28
03/2021;2.18
04/2021;2.24
05/2021;2.39
06/2021;2.32
07/2021;2.36
08/2021;2.37
09/2021;2.34
10/2021;2.33
11/2021;2.36
12/2021;2.35
01/2022;2.51
02/2022;2.57
03/2022;2.66
04/2022;2.72
05/2022;2.79
06/2022;2.73
07/2022;2.84
08/2022;2.90
09/2022;2.92
10/2022;3.04
11/2022;3.07
12/2022;3.07
01/2023;3.24
02/2023;3.36
03/2023;3.35
04/2023;3.54
05/2023;3.65
06/2023;3.61
07/2023;3.63
08/2023;3.61
09/2023;3.54
10/2023;3.56
11/2023;3.53
12/2023;3.29
01/2024;3.38
02/2024;3.38
03/2024;3.33
04/2024;3.37
05/2024;3.43
06/2024;3.29
07/2024;3.30
08/2024;3.33
09/2024;3.34
10/2024;3.30
11/2024;3.27
12/2024;3.08
01/2025;3.34
02/2025;3.41
03/2025;3.44
04/2025;3.67
05/2025;3.72
06/2025;3.75
07/2025;3.96
08/2025;4.14
09/2025;4.09
10/2025;4.18
11/2025;4.24
12/2025;4.20
01/2026;4.44
02/2026;4.64
03/2026;4.52
04/2026;4.64
05/2026;4.74
06/2026;4.58
07/2026;4.88
Source;BCB-DSTAT
